YEAR_MONTH,COMPANY_CODE_DESC,CUSTOMER,DIVISION_NAME,SALES,COGS,GROSS_PROFIT,OPERATING_EXPENSE,OPERATING_INCOME,NPAT,EBITDA
2022-10-01,STORE ALL PRO,3000008984,Bulk Warehouse,1078,784.4,293.6,259.9,33.7,-62.9,87.6
2022-10-01,RUNFAST GO,3000017014,Export Import,9.2,5.6,3.6,1.4,2.2,17.1,4.4
2022-10-01,RUNFAST GO,3000019518,Export Import,324.3,275.1,49.2,42.5,6.7,8,7.9
2022-10-01,RUNFAST GO,3000007370,Export Import,179,146.8,32.2,16.8,15.4,14.2,15.8
2022-11-01,RUNFAST GO,8000000010,Export Import,92.1,68.2,23.7,0,23.7,23.7,23.7
2022-11-01,RUNFAST GO,3000019640,Export Import,3.9,2.1,1.8,0,1.8,1.8,1.8
2022-11-01,RUNFAST GO,3000020764,Export Import,14,9.6,4.3,0,4.3,4.3,4.3
2022-10-01,RUNFAST GO,8000000010,Export Import,297.4,245.6,51.7,36.2,15.7,34.2,18.5
2022-10-01,RUNFAST GO,3000009257,Export Import,8002.7,7223,779.8,414.1,365.7,467.3,385.4
2022-11-01,RUNFAST GO,3000007550,Non Bulk Transport & Rental,26.6,39.4,-12.8,0,-12.8,-12.8,-12.8
2022-10-01,RUNFAST GO,3000007662,Non Bulk Transport & Rental,175.9,131.7,44.2,26.8,17.4,49.6,20.9
2022-10-01,RUNFAST GO,3000021761,Non Bulk Transport & Rental,810,583.9,226.1,123.7,102.4,327.7,120.2
2022-10-01,RUNFAST GO,8000000019,Non Bulk Transport & Rental,25.8,30.1,-4.3,3.9,-8.2,-24.7,-2
2022-10-01,RUNFAST GO,3000000709,Non Bulk Transport & Rental,195.2,80.3,114.9,30.3,84.6,407.4,96.2
2022-10-01,RUNFAST GO,3000018702,Non Bulk Transport & Rental,226.5,204.3,22.2,34.4,-12.2,-65.2,-8.6
2022-10-01,RUNFAST GO,3000021125,Non Bulk Transport & Rental,71.5,40.4,31.2,10.8,20.3,56.5,35.5
2022-10-01,RUNFAST GO,3000006108,Non Bulk Transport & Rental,127.8,97.3,30.5,19.8,10.7,-11.9,60.9
2022-10-01,RUNFAST GO,3000001084,Non Bulk Transport & Rental,291.1,257.7,33.4,45.3,-11.9,448,12.9
2022-10-01,RUNFAST GO,3000007550,Non Bulk Transport & Rental,833.9,563.5,270.4,118.5,152,292,214.5
2022-10-01,RUNFAST GO,3000004465,Non Bulk Transport & Rental,112.1,60.7,51.4,18.7,32.6,118.1,41.3
2022-10-01,RUNFAST GO,3000008124,Non Bulk Transport & Rental,227.6,188.8,38.8,35,3.8,43.7,40.1
2022-10-01,RUNFAST GO,3000009257,Non Bulk Transport & Rental,1790.2,1818.1,-28,229.9,-257.6,-482.7,-235
2022-10-01,RUNFAST GO,8000000010,Non Bulk Transport & Rental,1000.5,795.1,205.2,148,57.2,221.6,79.4
2022-11-01,RUNFAST GO,8000000010,Non Bulk Transport & Rental,283.6,126.4,157.2,0,157.2,157.2,157.2
2022-10-01,RUNFAST GO,3000017758,Non Bulk Transport & Rental,577.8,531.8,45.9,82,-36.2,-156.4,-22.6
2022-10-01,RUNFAST GO,3000019518,Non Bulk Transport & Rental,80.2,65.9,14.2,11.7,2.5,2.1,10.4
2022-10-01,RUNFAST GO,3000020314,Non Bulk Transport & Rental,141.3,118.1,23.2,21.6,1.7,19.8,5.9
2022-10-01,RUNFAST GO,3000000217,Non Bulk Transport & Rental,127.3,128,-0.7,19.5,-20.2,74.4,-9.2
2022-10-01,RUNFAST GO,3000021807,Non Bulk Transport & Rental,9.1,7.2,1.9,1.4,0.5,6.6,0.5
2022-10-01,RUNFAST GO,3000019703,Non Bulk Transport & Rental,428.9,359.2,69.7,64.7,5,20.3,12.1
2022-10-01,RUNFAST GO,3000005135,Non Bulk Transport & Rental,39.7,25.5,14.2,6.1,8.1,43.1,10.5
2022-10-01,RUNFAST GO,3000021173,Non Bulk Transport & Rental,143.4,157,-13.6,21.9,-35.6,-100.1,-24.4
2022-10-01,RUNFAST GO,3000018742,Non Bulk Transport & Rental,305.1,187.8,117.3,42.2,75.1,212.3,103.6
2022-10-01,RUNFAST GO,3000005194,Non Bulk Transport & Rental,301.8,334,-32.1,46,-78.2,64.4,-36.8
2022-10-01,RUNFAST GO,3000014429,Non Bulk Transport & Rental,184,178.1,5.9,29.9,-24,56.8,-13.5
2022-10-01,RUNFAST GO,3000004898,Non Bulk Transport & Rental,347.4,422.9,-75.5,53.1,-128.6,-421,-64.4
2022-10-01,RUNFAST GO,3000005193,Non Bulk Transport & Rental,580.7,604.9,-24.2,88.5,-112.9,-135.2,-87.9
2022-10-01,RUNFAST GO,3000002398,Non Bulk Transport & Rental,105.5,95.6,9.9,16.1,-6.1,-14.1,5.1
2022-10-01,RUNFAST GO,3000022075,Non Bulk Transport & Rental,27.4,30.5,-3.1,4.2,-7.3,-15.4,-3.5
2022-10-01,RUNFAST GO,3000020650,Non Bulk Transport & Rental,96.2,99.9,-3.7,14.5,-18.3,-18.8,-6.5
2022-10-01,RUNFAST GO,3000018032,Non Bulk Transport & Rental,184.4,221.6,-37.2,28.2,-65.3,-126.7,-38.4
2022-10-01,RUNFAST GO,3000007757,Non Bulk Transport & Rental,58.3,56.5,1.8,8.9,-7.1,19.9,-0.4
2022-10-01,RUNFAST GO,3000015457,Non Bulk Transport & Rental,30.4,27.1,3.3,4.6,-1.3,-5,2.8
2022-10-01,RUNFAST GO,3000020184,Non Bulk Transport & Rental,9.2,9,0.2,1.4,-1.2,-10,-0.5
2022-10-01,RUNFAST GO,3000004966,Non Bulk Transport & Rental,88.3,99.5,-11.1,11.5,-22.6,4.6,-10.6
2022-10-01,RUNFAST GO,3000022017,Non Bulk Transport & Rental,69.3,67.8,1.5,10.5,-9.1,-28.8,-1.8
2022-10-01,RUNFAST GO,3000019276,Non Bulk Transport & Rental,2.3,2.4,-0.1,0.4,-0.4,1.3,0.2
2022-10-01,RUNFAST GO,3000013813,Non Bulk Transport & Rental,40.5,46.4,-5.9,6.1,-12.1,-32.4,-7.1
2022-10-01,RUNFAST GO,3000020764,Non Bulk Transport & Rental,40,36.4,3.8,5.2,-1.6,-15.6,1
2022-10-01,RUNFAST GO,3000002182,Non Bulk Transport & Rental,9.1,8.7,0.4,1.4,-1,-4.9,2.4
2022-10-01,RUNFAST GO,3000018347,Non Bulk Transport & Rental,2.4,3.9,-1.5,0.4,-1.8,-3.2,-0.4
2022-10-01,RUNFAST GO,3000000758,Non Bulk Transport & Rental,22.3,30,-7.7,3.4,-11.1,-36.9,-6
2022-10-01,RUNFAST GO,3000018166,Non Bulk Transport & Rental,98.9,82.5,16.4,15.1,1.3,-90.5,19
2022-10-01,RUNFAST GO,3000018793,Non Bulk Transport & Rental,67.3,65.1,2.2,10.3,-8.1,-3.5,-4
2022-10-01,RUNFAST GO,3000021485,Bulk Transportation,9.7,7.9,1.9,0,1.9,-0.3,2.7
2022-10-01,RUNFAST GO,3000016576,Non Bulk Transport & Rental,949.6,814.1,135.5,101.4,34.1,14.9,65.5
2022-10-01,RUNFAST GO,3000006166,Non Bulk Transport & Rental,8.8,8,0.8,0.9,-0.2,-0.6,-0.1
2022-10-01,RUNFAST GO,3000020660,Non Bulk Transport & Rental,58.6,56.4,2.2,6.3,-4.1,-11.6,-3.9
2022-10-01,RUNFAST GO,3000004389,Bulk Transportation,18.2,35.4,-17.1,70.4,-87.5,-49.5,-85.9
2022-10-01,RUNFAST GO,8000000017,Non Bulk Transport & Rental,11.9,10,1.9,1.8,0.1,2.5,0.1
2022-10-01,RUNFAST GO,3000017698,Non Bulk Transport & Rental,30.7,22.8,7.9,4.6,3.3,2.1,3.4
2022-10-01,RUNFAST GO,3000007677,Non Bulk Transport & Rental,77.4,35.8,41.6,11.9,29.7,1,30
